county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_highschool,prop_GED,prop_some_college,prop_college_no_degree,prop_associates,prop_bachelors,prop_masters,prop_professional,prop_doctoral,prop_poverty
"Baldwin County, Alabama",2008,174439,52320,790,884,0.5072088237148803,0.4927911762851197,0.8650989744265903,0.08835180206261214,0.006896393581710512,0.0072632840133227084,0.0017312642241700538,0.014681349927481813,0.015976931764112384,0.22343358084784065,0.046009552901052145,0.062408423771326396,0.16874860307447787,0.08350924247315833,0.20768039999668877,0.06303755763611228,0.013004859231297754,0.010811168781715383,0.09132560624361237
"Calhoun County, Alabama",2008,113419,40056,533,686,0.5213941226778582,0.47860587732214177,0.7668380077412074,0.2012802087833608,0.0037207169874536013,0.008129149437043176,0,0.009231257549440569,0.01080065950149446,0.26425858012277037,0.07705351157380023,0.06737910275116,0.1806985028326564,0.05767840477411044,0.09130223326366707,0.04145799650354246,0.00867542095508498,0.015510601101515569,0.18246331379764663
"Cullman County, Alabama",2008,81324,39229,562,653,0.5008853474988934,0.4991146525011067,0.9676971127834342,0.01090698932664404,0.007463971275392258,0.002459298608036988,0,4.303772564064729e-4,0.011042250750086075,0.2830509374834015,0.07444981498202935,0.05683327136559197,0.1389847913457623,0.09165914201235814,0.08016855225651104,0.043943981161806624,0.008834829411660559,0.0012570598962482959,0.15272973283465874
"DeKalb County, Alabama",2008,68515,34357,536,548,0.5028387944245786,0.49716120557542143,0.9294607020360505,0.014011530321827337,0.01643435743997665,5.546230752389988e-4,0,0.024009341020214552,0.015529446106691965,0.294501615921075,0.0797542098996428,0.058747235924476955,0.12878465725463514,0.04941316550433747,0.04499064466746045,0.03021347167885695,0.0026577649260078246,0.0019348528661336962,0.23576638042583226
"Elmore County, Alabama",2008,78106,54601,620,787,0.49687604025298954,0.5031239597470105,0.7474073694722556,0.2183827106752362,0.005121245486902415,0.0011394771208357872,0,0.013456072516836094,0.014493124727933834,0.32288190810906864,0.0667759196003712,0.06108950184611132,0.1641360791359804,0.06172132604102908,0.1034414674116927,0.04476079530870535,0.010563310758781369,0.004087112760874287,0.10604408828984441
"Etowah County, Alabama",2008,103303,37642,569,595,0.5190652739997871,0.480934726000213,0.8196857787285945,0.1445746977338509,0.0037656215211562104,0.004423879267785059,0,0.0037849820431158825,0.02376504070549742,0.24869918355260376,0.04847920808832861,0.06889744349027736,0.17394982867295572,0.0955342160553887,0.09811469746323166,0.05111609346137033,0.0231538277140883,0.0015511090429657206,0.16327818422038612
"Houston County, Alabama",2008,98488,42646,570,673,0.5253533425391926,0.4746466574608074,0.7122593615465843,0.2521220859394038,0.004498009909836731,0.0041121761026724065,1.1168873365283081e-4,0.007554219803427829,0.01934245796442206,0.3037728392059101,0.0448727692822181,0.06933086066944334,0.1370352354604323,0.08161310917216429,0.11969111969111969,0.0444015444015444,0.016903292493843675,0.006186726659167604,0.14925804686128522
"Jefferson County, Alabama",2008,659503,46305,737,975,0.52635241992834,0.47364758007166,0.5537109004811199,0.40962815938668967,0.0017043137028944523,0.01235627434598478,0,0.010354767150414782,0.01224558493289644,0.25376201509590435,0.039667188393514186,0.05390190168296778,0.17752382514632273,0.07077714517448232,0.1751726369077318,0.06512244632934407,0.027831507289367025,0.010088237907442468,0.1335750173919765
"Lauderdale County, Alabama",2008,89128,36762,537,655,0.5182546450049367,0.48174535499506327,NA,NA,NA,NA,NA,NA,NA,0.26220810325327654,0.06133989754507351,0.0537555718182423,0.15255139378617524,0.04968065996939658,0.16302973854034994,0.05548533031734416,0.013838067992814848,0.0133557314882576,0.18758465529511698
"Lee County, Alabama",2008,133010,41787,663,850,0.5013833546349898,0.49861664536501016,0.7356439365461244,0.23117810690925494,0.004653785429666942,0.019855649951131493,0,0.0017968573791444253,0.006871663784677844,0.2258902971676626,0.04847396768402154,0.05608403226238645,0.15116964548889306,0.06609233902301777,0.17130684101931992,0.08281304429379137,0.017779147351215198,0.03675071679305448,0.1509586590440633
"Limestone County, Alabama",2008,76135,45309,486,760,0.5173573258028502,0.4826426741971498,0.8399028042293295,0.12425297169501544,0.00694818414658173,0.010612727392132397,0.0014710711236619164,0.004859788533525974,0.01195245287975307,0.19557274458739846,0.11303300034982702,0.08135421930267812,0.14344851712208964,0.06516500174913514,0.1307575698682318,0.05216309713530532,0.004431142379601198,0.005985929179461266,0.10616257498408915
"Madison County, Alabama",2008,319510,55096,631,906,0.5096554098463272,0.4903445901536728,0.7073925698726174,0.24049012550467905,0.005283089731150824,0.022543895339738974,1.7213858721166787e-4,0.004960721104190792,0.019157459860411254,0.191629536539853,0.04140009139723523,0.062178681594881755,0.15007711641722837,0.0661392284550059,0.2495572946418371,0.09638600099013671,0.016018317529228075,0.013009825202787616,0.11763034888825763
"Marshall County, Alabama",2008,88484,35205,624,550,0.515019664572126,0.48498033542787394,NA,NA,NA,NA,NA,NA,NA,0.20973751058425064,0.07419136325148179,0.06621507197290431,0.11732430143945809,0.08098221845893311,0.10530059271803556,0.04167654530059272,0.006299745977984759,7.281964436917866e-4,0.2048974657268642
"Mobile County, Alabama",2008,406309,41065,680,832,0.5204314942568341,0.4795685057431659,0.6180099382489681,0.34408541282619876,0.005857610833134388,0.01859176144264587,1.648991284958e-4,0.003034636200527185,0.01025574132002983,0.29964316344033326,0.0524496140651801,0.058119946091644205,0.15440072898799315,0.06835028179367802,0.1313977885322225,0.046442354814996326,0.013174620191129626,0.009533508943886302,0.1877733781772514
"Montgomery County, Alabama",2008,224810,43557,740,928,0.5233441572883768,0.47665584271162315,0.4296383612828611,0.5350740625417019,0.003634179974200436,0.013633735154130154,0,0.005667007695387216,0.01235265335171923,0.2000241377841514,0.04762952760936546,0.0581436624117906,0.1704127561089892,0.0719305967712164,0.1864359851765608,0.08651975748626275,0.015994831674452287,0.01070581720598049,0.17254461476796593
"Morgan County, Alabama",2008,115959,46363,571,740,0.506980915668469,0.49301908433153097,0.8131494752455609,0.12341431023034004,0.007476780586241689,0.0021818056381997086,0.0014229167205650273,0.041859622797712985,0.010495088781379626,0.26704444161466956,0.05960779320005093,0.08367502865147078,0.18869221953393608,0.05497262192792563,0.14828727874697567,0.03914427607283841,0.0060741118044059595,0.003794728129377308,0.1225421749172309
"St. Clair County, Alabama",2008,79577,48143,660,684,0.48919914045515667,0.5108008595448433,NA,NA,NA,NA,NA,NA,NA,0.24239949868023775,0.09021856782058829,0.06462087692979625,0.1667267997189571,0.07470424032965572,0.08528132773779458,0.029357589107688802,0.0044814948443819905,0.003551014982624713,0.1257398774291551
"Shelby County, Alabama",2008,187784,71675,807,1226,0.5090316533890001,0.49096834661099986,0.8596525795594939,0.09819792953606271,0.0033602436842329487,0.016140885272440675,6.337068120819665e-4,0.00943104843863162,0.012583606697056193,0.1830327652265821,0.02978431761130929,0.06554696789536266,0.15759182190513937,0.07146749900911613,0.29312822037257236,0.10214361210199498,0.018100145329634033,0.010941009380367288,0.042372153448072235
"Talladega County, Alabama",2008,80279,33838,543,561,0.5170592558452397,0.4829407441547603,NA,NA,NA,NA,NA,NA,NA,0.3029724825560731,0.07570570739098714,0.05073236433020933,0.15230933273472136,0.06659558149540752,0.08721028116055896,0.027423910806816693,0.0040593374113773685,0.0030117664665057896,0.18374195226637186
"Tuscaloosa County, Alabama",2008,179448,43645,730,807,0.5154640898756185,0.48453591012438146,0.6678369221167135,0.3078329098123133,0.0030370915251214836,0.011730417725469216,0,0.0022067674200882707,0.007355891400294236,0.27106157401114583,0.05256671650582212,0.04432060169453129,0.1434733360518327,0.05614607403380001,0.16347242988536995,0.07300077024149336,0.014127135154727924,0.016401612976303746,0.17678960047482165
"Walker County, Alabama",2008,68970,37138,534,541,0.5127011744236625,0.4872988255763375,NA,NA,NA,NA,NA,NA,NA,0.2715791217209466,0.07747572413507527,0.0695666576947763,0.1503550798153171,0.06919397917141142,0.05352077682767759,0.029234559721733368,0.018840969792335245,0.007474274829706619,0.17198409191338931
"Anchorage Municipality, Alaska",2008,279243,75637,982,1636,0.4909952980020985,0.5090047019979015,0.7017149937509625,0.060409750647285695,0.051879545771962056,0.06288071679504947,0.011276916520736419,0.014564375830369965,0.09727370068363397,0.18472785704517483,0.04536285727310024,0.07772256917536582,0.20382230934038384,0.08860600811414505,0.2142726899758399,0.07607580799562383,0.026313990062451567,0.01841067602680403,0.06385995687607353
"Fairbanks North Star Borough, Alaska",2008,97970,69103,985,1399,0.4674185975298561,0.532581402470144,0.7813514341124834,0.038481167704399306,0.06858221904664694,0.026926610186791874,0.001796468306624477,0.013361233030519547,0.06950086761253445,0.18932116412450947,0.05458387343075803,0.10155015359482927,0.2159028357334375,0.07979828470976792,0.1653497167817888,0.06660511035744092,0.023048102704334394,0.024734982332155476,0.06597811982403022
"Matanuska-Susitna Borough, Alaska",2008,85458,72966,902,1471,0.4783285356549416,0.5216714643450584,0.8622832268482763,0.016206791640337944,0.04060474151044958,0.013749444171405837,0,0.0037094245126260855,0.06344637131690421,0.26914045063752984,0.04333650319250102,0.06901236245075397,0.24030120131193355,0.08878840219690648,0.125293535428028,0.05668872629883362,0.005647524598754052,0.007200108680885749,0.0847671102661597
"Apache County, Arizona",2008,70207,30653,393,211,0.5076701753386414,0.49232982466135855,NA,NA,NA,NA,NA,NA,NA,0.26408216546390484,0.06288022462500924,0.03376764119110367,0.2011034210980025,0.04325016625206276,0.04615649860840866,0.035836555749858376,0,3.940789635723258e-4,0.3424807586982214
"Cochise County, Arizona",2008,129006,44549,698,819,0.5010619661101035,0.4989380338898966,0.8636962621893556,0.045842829015704696,0.00940266344201045,0.018952606855495092,4.185851820845542e-4,0.02713052106103592,0.03455653225431375,0.19155153470322836,0.043352736283516845,0.09361339037333147,0.19768800991186852,0.09093671832994366,0.15657947027608293,0.06709212894779905,0.008509245622647684,0.008953409542511162,0.14932907764460657
"Coconino County, Arizona",2008,128558,47408,874,973,0.49725415765646636,0.5027458423435337,0.6294279624760808,0.01372143312745998,0.28244838905396785,0.013410289519127554,0.001275688794162946,0.036434916535727065,0.023281320493473763,0.16766544569705286,0.034946480112864185,0.0682491813463455,0.20604185811729075,0.07931556671541916,0.20848811172519124,0.09616753601428922,0.007532907935439614,0.015130531574791939,0.16382647203542727
"Maricopa County, Arizona",2008,3954598,56499,940,1379,0.49603373086215086,0.5039662691378491,0.8221707996615585,0.04310425484461379,0.01857938531299515,0.02893189143371842,0.0018085276935860485,0.06147148205708899,0.02393365899643908,0.20550389952315173,0.032822389565670726,0.07161439505792337,0.17720794380027913,0.07785735593037706,0.17546923225327746,0.06911507148762638,0.01807602396403256,0.009371770122446652,0.13396028291913162
